Alex,Nancy,Howard,Roman,Lucy,Dean,Zack,Matthew,Greg,Antonio,Elena,Peter,Jake,Pat,Connor,John,game outcome
present,present,present,present,present,absent,absent,present,absent,present,absent,present,absent,present,absent,absent,win
absent,absent,present,present,absent,absent,present,absent,present,present,present,absent,present,present,absent,absent,lose
present,present,present,present,absent,absent,present,present,present,absent,present,present,present,absent,absent,absent,win
present,present,absent,present,present,absent,present,present,absent,absent,absent,present,absent,present,present,absent,lose
absent,absent,present,present,absent,absent,absent,absent,present,absent,absent,present,present,absent,present,absent,lose
present,present,present,present,absent,present,present,absent,present,absent,present,absent,absent,absent,absent,present,lose
present,present,absent,absent,absent,present,absent,present,present,present,present,absent,absent,present,present,absent,lose
present,present,absent,absent,absent,present,absent,present,present,absent,absent,absent,absent,absent,absent,present,lose
absent,present,absent,present,absent,absent,absent,absent,absent,present,present,absent,present,absent,absent,absent,lose
present,absent,absent,present,absent,present,present,present,absent,absent,present,present,present,absent,present,present,win
present,absent,absent,present,present,absent,absent,present,present,present,present,present,absent,absent,absent,present,win
present,absent,present,absent,absent,absent,present,present,absent,present,present,present,present,absent,absent,absent,win
absent,absent,present,absent,absent,absent,absent,absent,absent,present,absent,present,absent,present,absent,present,lose
present,absent,absent,absent,present,absent,present,present,present,present,absent,present,present,present,absent,absent,lose
absent,absent,absent,absent,present,absent,absent,absent,present,present,present,absent,present,absent,present,absent,win
absent,absent,present,present,present,absent,present,absent,absent,present,absent,present,present,absent,absent,absent,win
absent,absent,absent,absent,present,present,absent,present,present,absent,absent,absent,present,present,absent,present,lose
present,present,absent,absent,absent,absent,present,present,present,present,absent,present,present,absent,absent,absent,lose
present,present,absent,present,present,present,present,absent,absent,absent,present,absent,present,present,absent,absent,win
absent,present,present,present,present,present,present,absent,present,absent,absent,absent,absent,absent,present,absent,lose
absent,absent,absent,present,absent,absent,absent,absent,present,present,present,absent,absent,absent,present,absent,win
absent,absent,present,present,absent,absent,present,absent,absent,absent,present,absent,absent,absent,absent,absent,lose
absent,absent,absent,present,absent,present,present,present,absent,present,absent,absent,absent,absent,absent,absent,lose
absent,present,present,absent,absent,absent,absent,present,absent,present,absent,absent,absent,present,absent,present,win
absent,absent,present,absent,present,absent,present,present,present,present,present,absent,absent,absent,absent,present,win
present,present,absent,present,present,absent,absent,present,present,absent,present,present,absent,present,present,absent,lose
present,present,present,absent,present,absent,absent,absent,present,present,present,present,present,present,absent,absent,win
absent,present,present,absent,absent,absent,absent,absent,absent,absent,present,present,present,present,absent,present,lose
present,present,absent,present,absent,absent,present,absent,present,absent,absent,present,present,absent,present,present,win
present,present,present,present,absent,present,present,present,absent,present,absent,present,present,present,absent,present,lose
present,absent,present,absent,absent,absent,absent,present,present,absent,absent,present,present,present,present,absent,win
present,absent,absent,absent,present,present,present,absent,present,present,absent,present,present,present,absent,absent,win
absent,present,absent,present,absent,absent,absent,absent,present,absent,present,present,absent,absent,absent,absent,win
present,present,absent,present,present,absent,absent,present,present,absent,present,absent,present,present,absent,present,lose
present,present,present,present,absent,absent,absent,present,absent,absent,present,absent,absent,absent,absent,absent,win
absent,absent,present,present,absent,absent,present,absent,present,absent,absent,present,present,absent,present,absent,lose
absent,absent,present,present,present,present,present,present,absent,absent,absent,present,absent,present,absent,absent,lose
absent,absent,present,present,absent,present,absent,absent,present,absent,present,present,present,present,present,present,lose
present,absent,absent,present,absent,absent,absent,absent,absent,present,absent,absent,present,present,present,present,lose
absent,absent,absent,absent,absent,present,absent,absent,absent,present,present,absent,present,present,absent,present,win
present,present,absent,present,present,present,present,absent,present,present,absent,absent,absent,absent,present,absent,win
absent,absent,absent,absent,absent,present,absent,present,absent,present,absent,present,absent,present,present,present,win
absent,absent,present,absent,absent,absent,absent,present,present,absent,present,absent,absent,absent,present,absent,lose
absent,present,absent,absent,present,absent,present,absent,absent,present,absent,absent,absent,present,present,absent,win
absent,absent,absent,present,present,absent,present,present,absent,present,present,present,present,absent,present,absent,win
absent,absent,absent,absent,present,present,absent,absent,present,absent,absent,present,absent,present,present,absent,lose
present,present,absent,present,present,present,absent,absent,absent,absent,present,absent,present,absent,present,absent,lose
present,absent,present,absent,absent,absent,absent,present,absent,absent,absent,absent,present,present,present,absent,win
present,present,absent,present,present,present,present,present,absent,absent,absent,present,absent,absent,present,absent,lose
absent,present,absent,absent,absent,present,absent,present,absent,absent,absent,present,absent,present,absent,present,lose
present,absent,absent,present,present,absent,present,present,absent,present,absent,present,present,absent,present,absent,lose
present,present,absent,absent,present,present,absent,present,present,present,absent,absent,absent,present,absent,present,lose
present,absent,present,absent,present,absent,present,absent,present,absent,absent,present,absent,present,absent,present,win
absent,absent,present,absent,present,absent,absent,absent,absent,present,present,present,absent,absent,present,absent,win
present,absent,absent,absent,absent,present,present,absent,present,absent,present,present,absent,present,absent,absent,lose
absent,absent,present,absent,present,present,absent,present,absent,present,absent,absent,absent,present,absent,absent,win
present,present,absent,absent,present,present,present,present,present,present,absent,absent,present,absent,absent,present,win
present,absent,absent,present,absent,present,present,absent,absent,present,absent,absent,absent,absent,present,present,lose
present,absent,absent,present,absent,present,absent,absent,absent,present,present,present,absent,absent,absent,present,lose
absent,absent,present,absent,present,present,present,absent,present,present,present,present,present,present,present,absent,win
absent,absent,present,present,absent,present,absent,present,present,present,absent,present,present,present,absent,absent,win
absent,absent,present,present,present,absent,absent,present,present,absent,absent,absent,absent,present,present,present,win
absent,present,absent,absent,absent,present,present,absent,present,absent,present,present,present,present,present,absent,win
absent,absent,present,present,absent,absent,absent,present,absent,present,absent,absent,present,absent,present,present,win
present,present,absent,absent,present,present,present,absent,absent,present,present,absent,present,present,absent,present,lose
present,absent,present,absent,absent,present,present,absent,absent,absent,present,absent,present,present,present,present,lose
absent,absent,present,absent,absent,present,present,absent,present,absent,present,absent,absent,present,absent,absent,lose
present,present,present,absent,present,absent,absent,absent,absent,present,absent,present,present,present,absent,present,lose
present,absent,present,absent,present,present,absent,absent,present,present,present,absent,present,present,present,present,win
absent,absent,present,present,present,present,present,present,absent,present,absent,absent,present,absent,present,absent,lose
present,absent,present,present,present,present,present,present,absent,present,present,absent,absent,present,present,present,win
absent,absent,absent,present,present,present,absent,absent,present,present,absent,present,present,present,present,present,win
present,absent,present,absent,present,absent,present,absent,absent,present,absent,absent,absent,absent,present,absent,win
absent,present,present,absent,absent,present,absent,absent,present,present,present,absent,present,present,absent,absent,lose
present,present,absent,absent,absent,absent,absent,present,present,present,present,present,present,absent,present,present,lose
present,present,absent,absent,present,absent,present,present,absent,absent,absent,absent,absent,absent,absent,absent,win
present,absent,absent,absent,absent,present,absent,absent,present,present,absent,absent,present,absent,absent,absent,lose
absent,present,absent,present,absent,present,absent,absent,absent,present,present,present,present,present,present,present,lose
present,present,absent,absent,present,absent,present,absent,present,absent,absent,absent,absent,absent,absent,absent,win
present,present,present,present,absent,present,present,present,present,present,present,absent,absent,absent,absent,absent,win
absent,present,present,present,present,present,absent,present,absent,present,present,present,absent,absent,absent,absent,win
present,absent,absent,present,present,absent,absent,absent,absent,present,present,present,present,absent,absent,present,win
present,absent,present,present,present,absent,absent,present,present,absent,present,present,absent,present,present,present,win
present,present,present,absent,absent,absent,present,present,absent,present,present,absent,present,present,present,absent,win
present,present,present,absent,absent,present,absent,present,present,present,present,absent,present,absent,present,absent,win
present,absent,present,present,present,present,absent,absent,present,present,present,present,present,absent,absent,absent,lose
present,absent,absent,present,present,absent,present,absent,present,absent,present,present,absent,present,present,absent,win
absent,absent,absent,absent,present,present,present,absent,absent,absent,absent,present,absent,absent,present,absent,win
absent,absent,present,present,present,absent,absent,present,absent,absent,absent,present,absent,present,present,absent,win
absent,present,present,present,present,absent,absent,absent,absent,present,present,present,present,present,present,absent,win
present,present,absent,present,present,present,absent,absent,absent,present,absent,absent,present,present,present,present,lose
absent,absent,present,absent,present,absent,present,present,absent,present,present,absent,absent,present,present,present,lose
absent,absent,absent,present,absent,absent,absent,present,present,present,present,absent,present,absent,absent,absent,win
present,absent,present,absent,absent,absent,absent,absent,present,absent,present,absent,absent,present,absent,present,win
present,absent,absent,absent,present,present,absent,present,present,absent,absent,present,absent,absent,present,present,win
present,present,present,present,present,absent,present,absent,present,absent,absent,present,absent,absent,present,present,win
absent,absent,present,absent,absent,present,absent,absent,present,absent,present,absent,absent,absent,absent,present,win
present,absent,present,absent,present,absent,absent,absent,present,absent,absent,present,present,absent,absent,present,lose
present,present,absent,present,present,absent,absent,present,present,present,present,present,present,present,absent,present,win
absent,present,present,absent,absent,present,present,present,present,absent,absent,absent,absent,absent,present,present,lose
absent,absent,absent,present,present,present,present,absent,absent,absent,present,present,absent,absent,absent,present,win
absent,absent,present,present,absent,present,absent,present,absent,present,present,absent,present,absent,absent,absent,lose
present,present,present,absent,absent,absent,absent,present,absent,absent,present,absent,present,absent,present,present,win
absent,absent,absent,absent,absent,absent,present,present,present,present,present,present,present,present,absent,present,lose
absent,present,absent,present,present,absent,absent,present,present,absent,absent,present,present,present,absent,present,lose
absent,present,present,present,absent,present,absent,absent,absent,present,present,absent,present,present,present,present,lose
absent,absent,present,absent,absent,present,absent,present,present,present,absent,present,absent,absent,absent,absent,lose
present,present,absent,present,present,present,present,present,absent,present,present,present,absent,present,present,absent,lose
absent,present,absent,present,present,absent,absent,absent,present,present,absent,absent,absent,present,present,absent,win
present,absent,present,absent,present,present,present,present,absent,present,present,absent,present,present,present,absent,lose
absent,absent,absent,absent,present,present,absent,absent,absent,absent,present,present,absent,absent,present,absent,win
present,absent,present,present,present,present,present,present,present,present,absent,present,absent,present,present,present,win
present,absent,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,lose
present,present,absent,present,absent,absent,present,absent,absent,present,absent,absent,absent,present,absent,present,win
absent,present,present,absent,absent,present,present,absent,present,absent,absent,present,absent,present,present,absent,win
present,present,absent,present,present,present,absent,present,present,absent,absent,present,present,absent,present,present,lose
present,absent,present,absent,present,present,present,present,absent,absent,absent,absent,absent,present,present,present,lose
present,absent,absent,present,present,present,present,absent,absent,present,absent,present,present,absent,present,absent,lose
present,present,present,present,present,present,absent,absent,present,absent,present,present,absent,present,absent,present,win
present,present,absent,absent,present,absent,present,present,absent,present,absent,absent,absent,absent,present,absent,lose
present,absent,absent,present,present,present,absent,absent,present,absent,present,absent,present,absent,absent,present,win
present,present,absent,present,present,absent,present,absent,present,absent,present,absent,present,present,absent,absent,lose
absent,present,present,present,present,present,absent,present,absent,absent,present,absent,absent,present,present,present,win
absent,absent,present,present,absent,present,present,present,present,absent,present,present,absent,present,absent,present,lose
present,absent,present,present,absent,present,absent,present,absent,present,present,absent,present,absent,absent,absent,lose
present,absent,present,absent,present,absent,absent,present,present,present,present,absent,absent,present,absent,present,lose
present,absent,present,absent,present,absent,absent,absent,present,absent,absent,absent,present,present,present,absent,win
present,present,present,present,absent,absent,absent,absent,present,present,present,present,present,absent,absent,present,lose
present,present,present,absent,present,absent,present,present,absent,absent,present,absent,present,absent,present,present,win
absent,present,absent,present,absent,absent,present,absent,present,absent,present,absent,present,present,present,absent,lose
absent,absent,present,absent,absent,present,present,absent,present,present,absent,present,present,absent,absent,absent,lose
present,present,absent,absent,present,absent,present,present,present,absent,absent,present,absent,absent,present,absent,win
absent,absent,present,absent,absent,present,present,present,absent,present,absent,present,present,present,present,present,win
absent,absent,absent,absent,present,present,present,absent,present,absent,absent,present,absent,present,absent,absent,lose
absent,present,absent,present,absent,present,present,absent,absent,absent,present,absent,absent,present,absent,present,win
absent,present,present,absent,absent,absent,present,present,present,absent,absent,present,absent,absent,present,present,win
present,present,absent,absent,absent,present,absent,present,present,absent,absent,present,absent,absent,absent,present,lose
present,present,absent,present,present,absent,absent,present,present,absent,absent,present,present,present,present,absent,lose
present,present,absent,present,absent,absent,absent,absent,absent,absent,absent,present,absent,present,absent,present,lose
present,present,present,present,present,present,present,present,absent,absent,absent,present,present,present,absent,present,win
absent,absent,present,present,absent,absent,absent,absent,absent,absent,absent,absent,present,present,absent,absent,win
absent,absent,present,absent,present,absent,absent,present,present,absent,present,absent,absent,absent,present,present,lose
absent,absent,present,present,absent,present,present,absent,present,present,present,present,absent,present,present,present,win
present,present,present,absent,present,absent,present,present,absent,absent,present,present,present,present,present,present,lose
present,absent,present,absent,present,absent,absent,absent,present,absent,absent,present,absent,absent,present,absent,lose
present,present,absent,absent,present,present,absent,present,present,absent,present,absent,present,absent,present,present,lose
absent,present,absent,absent,absent,absent,present,absent,present,absent,absent,present,present,absent,absent,absent,win
absent,present,present,present,absent,absent,absent,absent,present,absent,present,absent,present,absent,absent,present,win
present,absent,absent,present,absent,absent,absent,present,present,absent,present,present,present,present,absent,absent,win
present,present,absent,absent,absent,absent,present,absent,absent,present,absent,absent,absent,absent,present,absent,lose
present,present,present,present,present,present,present,present,present,absent,present,present,present,present,absent,absent,win
present,absent,absent,absent,present,absent,present,present,present,present,present,absent,absent,present,present,present,lose
present,absent,absent,present,present,absent,absent,absent,present,present,present,absent,absent,present,present,absent,lose
present,present,absent,absent,present,present,absent,present,absent,absent,absent,present,present,present,absent,absent,win
present,absent,present,absent,absent,absent,present,present,present,absent,present,absent,absent,present,absent,present,win
present,absent,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,present,absent,lose
absent,present,absent,present,absent,present,present,present,absent,absent,present,present,absent,absent,present,absent,lose
absent,present,present,absent,absent,absent,present,present,absent,present,absent,present,present,absent,present,present,lose
present,absent,present,present,absent,present,absent,present,present,absent,absent,present,absent,present,present,present,lose
present,absent,absent,absent,present,present,absent,present,present,present,absent,present,present,absent,absent,present,lose
present,absent,absent,absent,absent,present,absent,present,present,absent,absent,absent,absent,absent,absent,absent,win
absent,present,present,absent,absent,absent,absent,present,absent,present,absent,present,absent,present,absent,present,win
absent,absent,absent,absent,absent,present,absent,present,present,absent,absent,present,absent,absent,present,present,win
absent,absent,present,absent,absent,present,absent,present,present,present,absent,absent,absent,present,present,absent,win
absent,absent,absent,absent,absent,absent,present,present,absent,absent,present,present,absent,present,absent,present,win
absent,absent,present,present,present,absent,present,present,absent,absent,present,present,absent,absent,present,present,lose
absent,present,present,absent,present,absent,present,present,present,present,absent,present,absent,present,present,absent,win
absent,absent,absent,present,present,absent,present,present,absent,present,absent,present,present,present,present,present,lose
absent,present,present,present,present,present,present,absent,absent,present,absent,absent,absent,present,absent,absent,lose
present,absent,present,present,absent,absent,present,present,absent,absent,absent,absent,present,present,absent,absent,win
present,present,absent,absent,absent,present,absent,absent,present,present,present,absent,present,present,absent,absent,lose
present,present,absent,absent,present,absent,present,present,present,present,present,absent,absent,present,present,absent,win
absent,absent,absent,absent,absent,absent,absent,present,absent,present,absent,absent,absent,absent,absent,present,win
absent,absent,absent,present,absent,present,absent,present,present,absent,present,present,absent,absent,absent,absent,win
present,absent,absent,present,absent,present,absent,present,present,absent,present,present,present,absent,absent,absent,win
present,absent,absent,absent,absent,present,present,present,present,present,absent,absent,present,absent,absent,absent,lose
absent,present,absent,present,absent,present,absent,present,absent,absent,absent,present,present,absent,absent,present,lose
absent,absent,present,present,absent,absent,absent,absent,absent,present,present,present,absent,present,present,present,lose
present,absent,present,present,absent,absent,present,absent,absent,present,present,absent,present,present,absent,present,lose
absent,absent,absent,present,absent,absent,present,absent,present,absent,present,present,present,absent,absent,present,lose
absent,present,present,present,present,present,present,present,absent,present,present,present,present,present,absent,absent,lose
absent,present,present,present,present,absent,absent,present,present,absent,absent,absent,absent,present,present,absent,lose
present,present,present,absent,absent,absent,absent,absent,present,present,absent,absent,absent,present,absent,absent,win
present,absent,absent,absent,present,absent,absent,absent,present,present,present,present,present,present,absent,present,lose
absent,present,absent,absent,present,present,absent,present,present,present,absent,present,present,absent,present,absent,win
present,present,absent,absent,present,present,absent,present,absent,absent,absent,absent,present,present,present,present,win
absent,present,present,present,absent,absent,absent,absent,present,present,absent,absent,absent,absent,absent,present,lose
absent,absent,absent,present,absent,present,present,absent,present,present,present,present,present,absent,absent,present,lose
present,absent,present,present,present,present,present,absent,present,present,absent,absent,absent,present,present,absent,win
present,present,absent,absent,absent,present,absent,present,absent,present,absent,absent,present,present,absent,present,lose
present,absent,present,absent,present,absent,present,absent,present,absent,absent,absent,absent,present,absent,absent,win
present,absent,absent,present,absent,present,present,present,present,present,absent,present,absent,present,present,absent,win
absent,present,absent,absent,present,present,absent,absent,present,absent,present,present,present,absent,present,absent,lose
present,absent,present,present,absent,absent,absent,present,present,absent,present,present,absent,present,absent,present,win
present,absent,present,present,present,present,absent,present,absent,absent,absent,absent,present,absent,absent,absent,win
present,present,absent,present,absent,absent,absent,present,absent,absent,absent,absent,present,absent,absent,absent,win
present,present,absent,absent,present,absent,present,absent,absent,present,absent,absent,absent,absent,absent,present,lose
absent,absent,absent,present,present,absent,present,present,absent,present,absent,absent,present,present,absent,absent,lose
present,absent,absent,present,absent,absent,absent,absent,present,present,present,present,absent,absent,absent,present,win
present,absent,absent,present,present,absent,absent,absent,present,absent,present,present,absent,absent,present,present,lose
present,absent,present,absent,present,present,absent,present,absent,absent,absent,present,present,absent,absent,present,win
present,present,absent,absent,present,present,present,absent,absent,absent,present,present,absent,absent,present,absent,lose
present,present,present,absent,present,present,absent,absent,absent,present,present,absent,present,present,absent,present,lose
present,present,present,absent,present,present,present,present,present,present,present,absent,present,absent,absent,present,win
present,present,absent,absent,absent,present,absent,present,absent,present,absent,absent,absent,present,absent,absent,lose
absent,present,absent,present,present,absent,absent,present,present,absent,present,present,present,absent,absent,present,win
absent,present,absent,absent,present,present,absent,present,absent,present,absent,present,present,present,absent,absent,lose
present,present,present,absent,present,present,absent,present,absent,present,present,absent,absent,present,absent,present,lose
absent,absent,present,absent,present,absent,present,present,present,present,absent,present,absent,present,absent,present,lose
present,present,present,present,present,present,present,present,present,present,absent,absent,present,absent,absent,absent,win
present,absent,absent,absent,present,present,present,present,present,present,absent,absent,absent,absent,absent,present,lose
absent,absent,present,absent,present,present,present,absent,present,absent,present,present,present,present,absent,present,lose
present,absent,present,absent,present,present,present,absent,present,present,absent,present,present,present,present,absent,win
absent,present,absent,absent,present,present,absent,absent,absent,present,present,present,absent,present,present,present,lose
absent,present,present,present,absent,absent,present,absent,present,present,present,present,present,present,absent,absent,win
present,present,absent,present,present,present,present,absent,absent,absent,present,absent,present,absent,present,absent,lose
present,present,absent,absent,absent,present,present,present,present,present,present,present,present,present,absent,absent,lose
absent,absent,present,absent,absent,absent,present,present,absent,absent,present,present,present,absent,present,present,lose
present,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,present,absent,win
absent,absent,present,absent,present,absent,present,present,present,absent,absent,present,absent,present,absent,absent,win
absent,present,present,absent,absent,absent,absent,present,absent,present,absent,present,absent,present,absent,present,win
present,absent,present,present,present,absent,present,present,present,present,present,present,absent,present,absent,present,lose
present,present,present,absent,present,present,absent,present,absent,present,present,present,present,present,present,absent,lose
present,absent,present,present,absent,present,absent,absent,present,present,absent,absent,present,present,absent,present,win
present,present,present,present,absent,absent,absent,present,present,present,absent,present,absent,present,absent,present,win
present,present,absent,absent,absent,absent,absent,present,absent,present,present,absent,present,absent,absent,present,lose
absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,lose
absent,absent,present,present,absent,present,present,present,absent,present,absent,present,present,absent,absent,present,lose
absent,present,absent,present,absent,absent,absent,present,absent,present,absent,absent,present,present,present,absent,win
absent,present,present,present,absent,absent,absent,absent,present,absent,present,absent,present,present,present,present,lose
absent,absent,present,present,present,absent,present,absent,absent,present,absent,present,absent,present,absent,present,lose
absent,present,absent,absent,absent,absent,present,present,present,present,present,present,absent,absent,absent,absent,lose
present,absent,present,present,present,absent,present,present,absent,present,present,absent,absent,absent,present,absent,win
present,absent,present,present,present,present,present,absent,absent,absent,absent,present,present,present,present,absent,lose
absent,absent,present,present,absent,present,present,absent,present,present,present,absent,absent,absent,present,absent,lose
absent,absent,absent,absent,absent,present,present,present,present,present,absent,present,present,present,absent,absent,win
present,absent,absent,present,present,absent,present,present,present,present,absent,absent,absent,present,present,absent,lose
present,absent,present,present,absent,absent,present,absent,present,absent,absent,present,present,absent,absent,absent,lose
